datetime,open,high,low,close,volume
08-06-2021 08:00,32966.7,33373.01,32651.52,33089.99,16467.15771
08-06-2021 12:00,33084.43,33179.23,31000,31705.24,28569.80082
08-06-2021 16:00,31705.25,32999.35,31563.52,32864.18,18675.74022
08-06-2021 20:00,32864.19,33841.98,32661.95,33380.81,14249.95723
09-06-2021 00:00,33380.8,33540.47,32396.82,32863.07,13371.48863
09-06-2021 04:00,32862.25,34512.95,32536.49,34169.05,22620.3332
09-06-2021 08:00,34168.11,35045.55,33808,34972.42,20888.74579
09-06-2021 12:00,34972.42,36736,34512.94,36357.11,38906.50305
09-06-2021 16:00,36356.42,37000,35650.16,36260.45,25218.74536
09-06-2021 20:00,36260.45,37534.79,36112,37388.05,15601.78148
10-06-2021 00:00,37388.05,37666.11,36751.07,36959.69,15106.20935
10-06-2021 04:00,36959.7,37220.99,36500,36962.14,12050.34946
10-06-2021 08:00,36962.12,38491,36242.57,37818.54,29837.78567
10-06-2021 12:00,37819.27,38198.23,36612,36896.75,23315.07768
10-06-2021 16:00,36896.65,37150,36100,36675.09,15795.99163
10-06-2021 20:00,36675.1,37088,35782,36675.72,13421.87116
11-06-2021 00:00,36677.83,37300,35936.77,36754.4,13593.74551
11-06-2021 04:00,36754.41,37435,36390.32,37147.55,13931.72954
11-06-2021 08:00,37147.56,37680.4,36921,37378.82,14475.66291
11-06-2021 12:00,37378.82,37589,36747.62,36818.41,12282.87087
11-06-2021 16:00,36818.42,37419.01,36511.52,37246.77,12329.34358
11-06-2021 20:00,37246.76,37498.58,36745,37331.98,11852.65288
12-06-2021 00:00,37331.98,37463.63,35277,35571.19,24477.86472
12-06-2021 04:00,35572.84,35726.68,35000,35289.06,15392.9926
12-06-2021 08:00,35289.06,35900,34600.36,35596.7,18010.31081
12-06-2021 12:00,35597.5,36238,35315,35384.96,14248.7802
12-06-2021 16:00,35384.96,35997.67,35300,35730,8363.097874
12-06-2021 20:00,35730.01,36143.93,35420.32,35546.11,7224.503786
13-06-2021 00:00,35546.12,35926.96,34816.02,34867.8,9711.333532
13-06-2021 04:00,34867.81,35499.86,34757,35280.02,8911.507916
13-06-2021 08:00,35282.02,36099,35171.55,35904.03,10701.32835
13-06-2021 12:00,35904.02,36150,35670,36034.97,9405.698575
13-06-2021 16:00,36034.96,37750.14,35970,37650,22064.60781
13-06-2021 20:00,37650,39380,37636.18,39020.57,26126.54937
14-06-2021 00:00,39020.56,39800,38730,38975.14,19015.54059
14-06-2021 04:00,38975.14,39700,38782.34,39555.24,12639.85819
14-06-2021 08:00,39555.25,39629.01,38820,39166.33,13481.89624
14-06-2021 12:00,39166.33,41064.05,39040,40685.37,32269.37526
14-06-2021 16:00,40685.37,40740.03,39323.1,39716.06,19945.82701
14-06-2021 20:00,39716.06,40605.87,39602,40516.29,11169.89468
15-06-2021 00:00,40516.28,40900,39856.6,40404.86,12104.79446
15-06-2021 04:00,40403.13,40580,40100,40365.74,8921.675209
15-06-2021 08:00,40367.41,40400,39531,39839.9,13863.18215
15-06-2021 12:00,39839.9,40450,39720,40065.01,12670.08089
15-06-2021 16:00,40065.01,41330,39768,39958.01,22512.74593
15-06-2021 20:00,39957.76,40365.27,39506.4,40144.04,10607.14421
16-06-2021 00:00,40143.8,40181.95,39610,40013.63,7196.474633
16-06-2021 04:00,40013.64,40527.14,39840,40126.87,14664.54418
16-06-2021 08:00,40126.87,40260.14,38877.46,39080.01,16161.83648
16-06-2021 12:00,39080.01,39504.99,38565,38775.66,16463.57804
16-06-2021 16:00,38775.66,39735.52,38301.68,38680.11,23114.72512
16-06-2021 20:00,38680.1,38925,38116.01,38349.01,10170.81849
17-06-2021 00:00,38349,38978.75,38213.23,38865.05,8985.156279
17-06-2021 04:00,38865.05,39400,38644.4,39207.36,11394.731
17-06-2021 08:00,39208.67,39559.88,39057.27,39146.36,10847.19743
17-06-2021 12:00,39148.26,39195.9,38411.39,39007.91,15961.09659
17-06-2021 16:00,39008.01,39111.56,37505,37702.53,21600.73207
17-06-2021 20:00,37702.53,38258,37365,38092.97,10752.39375
18-06-2021 00:00,38092.97,38202.84,37213,37926.79,11186.10113
18-06-2021 04:00,37926.78,38148.11,37377,37715.03,10812.07649
18-06-2021 08:00,37715.04,38029.99,37063.8,37821.95,15124.11803
18-06-2021 12:00,37818.57,37948.55,36278.5,36355.1,24222.20163
18-06-2021 16:00,36355.97,36818.44,35129.29,35327.24,22970.08792
18-06-2021 20:00,35323.65,35928.39,35232.26,35819.84,10913.45774
19-06-2021 00:00,35820.48,36297.3,34803.52,35103.44,14164.14834
19-06-2021 04:00,35103.44,35873.9,34961.39,35785.96,12578.95654
19-06-2021 08:00,35785.95,35995,35561.81,35940.22,8978.991943
19-06-2021 12:00,35940.22,36457,35550,36114.85,15007.23099
19-06-2021 16:00,36114.85,36210,35360.08,35943.65,10375.91886
19-06-2021 20:00,35943.65,36200,35394.75,35483.72,7607.202799
20-06-2021 00:00,35483.72,35800,35119.21,35527.24,8060.733689
20-06-2021 04:00,35527.25,35922,35363.02,35637.71,7298.442626
20-06-2021 08:00,35637.72,35693.88,33724.48,33872.9,24304.19049
20-06-2021 12:00,33870.56,34666,33336,34422.71,23737.23967
20-06-2021 16:00,34422.11,35700.92,34289,35502.82,13435.4278
20-06-2021 20:00,35502.83,36137.72,35380,35600.16,13042.13658
21-06-2021 00:00,35600.17,35750,34566.82,34649.63,12048.18009
21-06-2021 04:00,34651.86,34725.82,32266,33025.5,38363.45211
21-06-2021 08:00,33025.5,33577.12,31710,32520.56,46870.92432
